timestamp_event,timestamp_recv,best_bid,best_ask,mid
2026-01-04T23:52:46.284663977Z,2026-01-04T23:52:47.368429+00:00,91394.96,91394.97,91394.96
2026-01-04T23:52:45.659891Z,2026-01-04T23:52:47.372580+00:00,91394.96,91394.97,91394.96
2026-01-04T23:52:45.709312Z,2026-01-04T23:52:47.372651+00:00,91394.96,91394.97,91394.96
2026-01-04T23:52:45.770184Z,2026-01-04T23:52:47.373505+00:00,91393.67,91393.68,91393.67
2026-01-04T23:52:45.803382Z,2026-01-04T23:52:47.373551+00:00,91393.67,91393.68,91393.67
2026-01-04T23:52:45.864135Z,2026-01-04T23:52:47.373781+00:00,91393.66,91393.67,91393.67
2026-01-04T23:52:45.905635Z,2026-01-04T23:52:47.373821+00:00,91393.66,91393.67,91393.67
2026-01-04T23:52:45.952097Z,2026-01-04T23:52:47.373846+00:00,91393.66,91393.67,91393.67
2026-01-04T23:52:46.003603Z,2026-01-04T23:52:47.374204+00:00,91395.49,91396.00,91395.74
2026-01-04T23:52:46.04844Z,2026-01-04T23:52:47.374442+00:00,91395.50,91396.73,91396.11
2026-01-04T23:52:46.116007Z,2026-01-04T23:52:47.374524+00:00,91395.50,91396.73,91396.11
2026-01-04T23:52:46.15593Z,2026-01-04T23:52:47.374645+00:00,91396.04,91396.73,91396.38
2026-01-04T23:52:46.198307Z,2026-01-04T23:52:47.374778+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.242098Z,2026-01-04T23:52:47.374902+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.307594Z,2026-01-04T23:52:47.375004+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.348169Z,2026-01-04T23:52:47.375048+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.373093Z,2026-01-04T23:52:47.375071+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.470999Z,2026-01-04T23:52:47.375112+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.520329Z,2026-01-04T23:52:47.375130+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.607412Z,2026-01-04T23:52:47.375172+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.66964Z,2026-01-04T23:52:47.375198+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.713327Z,2026-01-04T23:52:47.375210+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.763914Z,2026-01-04T23:52:47.375228+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.799023Z,2026-01-04T23:52:47.375246+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.853458Z,2026-01-04T23:52:47.375262+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.920056Z,2026-01-04T23:52:47.375274+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:46.976353Z,2026-01-04T23:52:47.375287+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.024046Z,2026-01-04T23:52:47.375306+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.038761Z,2026-01-04T23:52:47.375322+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.112154Z,2026-01-04T23:52:47.375333+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.151528Z,2026-01-04T23:52:47.375369+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.214375Z,2026-01-04T23:52:47.375386+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.227031Z,2026-01-04T23:52:47.375399+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.315967Z,2026-01-04T23:52:47.375412+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.362006Z,2026-01-04T23:52:47.375470+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.383522Z,2026-01-04T23:52:47.375486+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.455016Z,2026-01-04T23:52:47.419178+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.500372Z,2026-01-04T23:52:47.469205+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.567828Z,2026-01-04T23:52:47.514641+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.609208Z,2026-01-04T23:52:47.568708+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.668304Z,2026-01-04T23:52:47.622412+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.715656Z,2026-01-04T23:52:47.724241+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.752902Z,2026-01-04T23:52:47.724899+00:00,91396.72,91396.73,91396.73
2026-01-04T23:52:47.79878Z,2026-01-04T23:52:47.770294+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:47.868862Z,2026-01-04T23:52:47.896325+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:47.911814Z,2026-01-04T23:52:47.896800+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:47.957664Z,2026-01-04T23:52:47.918244+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.013701Z,2026-01-04T23:52:47.968466+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.065757Z,2026-01-04T23:52:48.020588+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.125747Z,2026-01-04T23:52:48.064839+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.172521Z,2026-01-04T23:52:48.116863+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.203705Z,2026-01-04T23:52:48.166844+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.264074Z,2026-01-04T23:52:48.215167+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.310151Z,2026-01-04T23:52:48.263955+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.363507Z,2026-01-04T23:52:48.317764+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.410988Z,2026-01-04T23:52:48.419991+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.478519Z,2026-01-04T23:52:48.420123+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.498233Z,2026-01-04T23:52:48.468085+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.572681Z,2026-01-04T23:52:48.520444+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.606902Z,2026-01-04T23:52:48.567374+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.672499Z,2026-01-04T23:52:48.614911+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.717834Z,2026-01-04T23:52:48.667297+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.766214Z,2026-01-04T23:52:48.718280+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.819615Z,2026-01-04T23:52:48.768475+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.847513Z,2026-01-04T23:52:48.817257+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.915046Z,2026-01-04T23:52:48.944221+00:00,91388.00,91388.01,91388.01
2026-01-04T23:52:48.969365Z,2026-01-04T23:52:48.945077+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:48.997096Z,2026-01-04T23:52:48.968466+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.038617Z,2026-01-04T23:52:49.014594+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.112404Z,2026-01-04T23:52:49.068364+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.153444Z,2026-01-04T23:52:49.117751+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.21865Z,2026-01-04T23:52:49.164626+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.229256Z,2026-01-04T23:52:49.216700+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.314439Z,2026-01-04T23:52:49.267326+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.397243Z,2026-01-04T23:52:49.367506+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.500362Z,2026-01-04T23:52:49.469081+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.556595Z,2026-01-04T23:52:49.518764+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.58686Z,2026-01-04T23:52:49.566720+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.651165Z,2026-01-04T23:52:49.622763+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.717842Z,2026-01-04T23:52:49.664168+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.757285Z,2026-01-04T23:52:49.721561+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.798817Z,2026-01-04T23:52:49.772182+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:49.921169Z,2026-01-04T23:52:49.866182+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.006903Z,2026-01-04T23:52:49.991944+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.066005Z,2026-01-04T23:52:50.017703+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.249733Z,2026-01-04T23:52:50.215930+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.297684Z,2026-01-04T23:52:50.269427+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.317343Z,2026-01-04T23:52:50.315155+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.397995Z,2026-01-04T23:52:50.367110+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.446953Z,2026-01-04T23:52:50.417382+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.492558Z,2026-01-04T23:52:50.517849+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.549666Z,2026-01-04T23:52:50.518021+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.602863Z,2026-01-04T23:52:50.569441+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.651831Z,2026-01-04T23:52:50.619133+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.707319Z,2026-01-04T23:52:50.672365+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.770562Z,2026-01-04T23:52:50.720597+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.808463Z,2026-01-04T23:52:50.773453+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.83124Z,2026-01-04T23:52:50.822449+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.895608Z,2026-01-04T23:52:50.869526+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:50.943068Z,2026-01-04T23:52:50.919274+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.003478Z,2026-01-04T23:52:51.044207+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.051984Z,2026-01-04T23:52:51.044530+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.110936Z,2026-01-04T23:52:51.069101+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.173296Z,2026-01-04T23:52:51.127719+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.188924Z,2026-01-04T23:52:51.167267+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.229896Z,2026-01-04T23:52:51.216618+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.37233Z,2026-01-04T23:52:51.318872+00:00,91391.83,91391.84,91391.83
